query,category
"How would you translate the programming term 'dependency injection' into Russian?",translation
"Переведи на английский: Мы предлагаем индивидуальный подход к каждому клиенту и гарантируем высокое качество обслуживания",translation
"Как по-французски будет «у меня аллергия на орехи»?",translation
"Translate to Russian: The quarterly earnings exceeded expectations by 15%, driven primarily by growth in the cloud computing segment",translation
"Переведи на немецкий: Можно ли пересесть на другое место? Здесь слишком шумно",translation
"What is a good Russian translation for 'machine learning pipeline'?",translation
"Переведи на английский этот диалог: — Когда будет готов проект? — Ориентировочно в пятницу, но могут быть задержки из-за ревью кода",translation
"Как сказать по-итальянски «мне нужен чек, пожалуйста»?",translation
"Translate from Japanese to Russian: お疲れ様でした",translation
"Переведи на английский: Согласно пункту 3.2 договора, заказчик обязуется произвести оплату в течение 10 рабочих дней с момента подписания акта приёмки",translation
"Как перевести на русский идиому 'the elephant in the room'?",translation
"Переведи на испанский: Не подскажете, как пройти к центральной площади?",translation
"What does the French expression 'c'est la vie' mean and how would you use it in Russian?",translation
"Переведи техническое задание на английский: Система должна поддерживать одновременное подключение до 1000 пользователей с задержкой ответа не более 200 мс",translation
"Как будет по-корейски «я не говорю по-корейски»?",translation
"Переведи на английский: Выручка компании за третий квартал составила 2.3 млрд рублей что на 18% превышает показатели аналогичного периода прошлого года",translation
"Translate 'дедлайн горит' to English — is there a good equivalent?",translation
"Переведи с финского: Kiitos paljon avustasi",translation
"Как по-португальски будет «где ближайшая автобусная остановка»?",translation
"Переведи пользовательское соглашение: Нажимая кнопку Зарегистрироваться вы соглашаетесь с условиями использования сервиса и политикой конфиденциальности",translation
"What's the Chinese equivalent of the Russian saying 'утро вечера мудренее'?",translation
"Переведи меню: Борщ с говядиной и сметаной, Пельмени домашние, Блины с икрой, Медовик",translation
"Как на арабском сказать «я хочу арендовать автомобиль на три дня»?",translation
"Translate to Russian and explain: Per aspera ad astra",translation
"Переведи рекламный слоган на английский: Твой город — твои правила",translation
"Как по-турецки будет «сколько стоит этот ковёр»?",translation
"Переведи на английский резюме: Опыт работы в сфере backend-разработки 3 года. Стек: Python, FastAPI, PostgreSQL, Docker. Участвовал в разработке высоконагруженного сервиса обработки платежей",translation
"What is the Japanese word for the feeling of sadness when summer ends?",translation
"Переведи на английский: Просим рассмотреть возможность предоставления скидки при оформлении заказа от 100 единиц",translation
"Напиши рассказ от лица искусственного интеллекта который впервые осознал себя. Пусть это будет не больше 10 предложений",creative
"Придумай 7 оригинальных названий для мобильного приложения по учёту финансов",creative
"Сочини частушку про программиста который забыл поставить точку с запятой",creative
"Напиши речь директора школы на последнем звонке — торжественную но с юмором",creative
"Придумай сюжет для компьютерной игры в жанре roguelike где главный герой — почтальон в постапокалипсисе",creative
"Write a dramatic monologue for a villain who believes they are saving the world",creative
"Сочини считалочку для детей на тему космоса",creative
"Напиши описание для Airbnb квартиры в центре Москвы — уютной студии с видом на Москву-реку. Сделай текст привлекательным для туристов",creative
"Придумай 5 нестандартных вопросов для собеседования frontend-разработчика которые раскрывают мышление кандидата",creative
"Напиши пародию на новостной репортаж о том как коты захватили интернет",creative
"Сочини эпитафию для старого сервера который проработал 15 лет без перезагрузки",creative
"Придумай концепцию настольной игры для 2-6 игроков на тему стартап-инкубатора. Опиши механики и условия победы",creative
"Напиши описание для портфолио дизайнера — минималистичное но запоминающееся",creative
"Сочини колыбельную для кота в стиле рэп",creative
"Придумай 10 креативных тем для блога о путешествиях которые ещё никто не освещал",creative
"Напиши сценарий короткого скетча: два программиста спорят про табы и пробелы а между ними судья",creative
"Сочини легенду про город который появляется только в полнолуние",creative
"Придумай рекламный текст для кофейни которая работает только ночью. Целевая аудитория — студенты и фрилансеры",creative
"Напиши отзыв от лица инопланетянина который впервые попробовал пиццу",creative
"Create a fictional Wikipedia article about a sport that doesn't exist called 'quantum chess'",creative
"Сочини стихотворение в стиле Маяковского про нейросети",creative
"Придумай 5 абсурдных но забавных правил для офиса будущего",creative
"Напиши письмо от Деда Мороза в IT-отдел с просьбой починить его CRM для учёта подарков",creative
"Придумай сценарий трейлера к фильму: учёный случайно создал ИИ который общается только цитатами из классической литературы",creative
"Сочини меню для ресторана в стиле фэнтези — блюда с волшебными названиями и ингредиентами",creative
"Напиши мотивирующий пост для LinkedIn про то как провал проекта стал лучшим уроком в карьере",creative
"Придумай инструкцию по выживанию в офисе написанную в стиле средневекового трактата",creative
"Write a product hunt launch post for an app that translates cat meows into human language",creative
"Напиши сцену из пьесы: встреча Пушкина и ChatGPT",creative
"Придумай 3 варианта вступительной речи для конференции по искусственному интеллекту — серьёзный, юмористический и провокационный",creative
"Какие основные отличия процессоров ARM от x86?",general
"Расскажи про феномен FOMO простыми словами",general
"Какие бывают методологии управления проектами? Scrum, Kanban, что ещё?",general
"Объясни как работает шифрование end-to-end в мессенджерах",general
"What are the pros and cons of remote work?",general
"Расскажи про историю создания языка Python",general
"Какие существуют виды облачных сервисов? IaaS, PaaS, SaaS — в чём разница?",general
"Как работает рекомендательная система YouTube?",general
"Расскажи про закон Мура и почему он перестаёт работать",general
"Что такое agile и почему все про него говорят?",general
"В чём принципиальная разница между компилируемыми и интерпретируемыми языками?",general
"Расскажи про проблему P vs NP для чайников",general
"Какие есть альтернативы Google Analytics для аналитики сайта?",general
"Что такое технический долг и как с ним бороться?",general
"How does a neural network actually learn?",general
"Расскажи про принцип работы SSD накопителей в сравнении с HDD",general
"Что такое микросервисная архитектура и когда её стоит применять?",general
"Какие права имеет потребитель при возврате товара в России?",general
"Объясни что такое OAuth 2.0 и зачем он нужен",general
"Какие существуют типы данных в статистике? Номинальные, порядковые и так далее",general
"Расскажи про историю интернета — от ARPANET до наших дней",general
"Что лучше для бэкенда в 2026: Python, Go или Rust? Какие у каждого плюсы и минусы?",general
"Как работает DNS и что происходит когда ты вводишь адрес сайта в браузер?",general
"Расскажи про парадокс Ферми — где все инопланетяне?",general
"Что такое Web3 и децентрализованный интернет?",general
"Какие бывают виды кибератак? Фишинг, DDoS, что ещё?",general
"Объясни принцип работы VPN",general
"Расскажи про синдром самозванца в IT и как с ним справляться",general
"What are the differences between AI, machine learning, and deep learning?",general
"Как работает система контроля версий Git на уровне хранения данных?",general
"Расскажи кратко историю искусственного интеллекта от 1950-х до 2020-х",general
"Что такое Progressive Web Apps и чем они отличаются от обычных сайтов?",general
"Как устроена система рейтингов в шахматах ELO?",general
"Какие есть этические проблемы использования ИИ?",general
"Расскажи про SOLID принципы простыми словами",general
"Что такое квантовое превосходство и достигнуто ли оно?",general
"Какой ноутбук выбрать для программирования в 2026 году?",general
"Как работает нейросеть GPT на высоком уровне? Без формул, простыми словами",general
"В чём разница между Data Science, Data Engineering и Data Analytics?",general
"Расскажи про историю и эволюцию операционных систем",general
"Посчитай NPV проекта: инвестиции 1000000 руб, доход 300000 в год в течение 5 лет, ставка дисконтирования 10%",math
"Найди все целые решения неравенства |2x - 5| < 7",math
"Чему равна сумма первых 20 членов геометрической прогрессии с первым членом 3 и знаменателем 2?",math
"Реши задачу: из пункта А в пункт Б выехал автомобиль со скоростью 60 км/ч. Через час навстречу из Б в А выехал второй со скоростью 80 км/ч. Расстояние между городами 340 км. Через сколько часов они встретятся?",math
"Вычисли площадь фигуры ограниченной параболой y=x² и прямой y=4",math
"Найди собственные значения матрицы [[4,1],[2,3]]",math
"Сколько диагоналей у двенадцатиугольника?",math
"Переведи число 255 из десятичной системы в двоичную",math
"Найди радиус окружности вписанной в треугольник со сторонами 13, 14, 15",math
"Вычисли сумму ряда 1/1 + 1/4 + 1/9 + 1/16 + ... + 1/100",math
"Сочини объявление о продаже дракона на Авито",creative
"Придумай диалог между двумя ИИ которые спорят кто из них умнее",creative
"Напиши пост для Хабра о том почему стоит перейти с REST на GraphQL в стиле разговора с другом",creative
"Придумай квест для корпоратива IT-компании на 20 человек",creative
"Напиши рецепт блюда которое не существует но звучит вкусно",creative
"Сочини басню в стиле Крылова про микросервисы и монолит",creative
"Придумай 5 оригинальных способов объяснить ребёнку что такое программирование",creative
"Напиши предсмертную записку от имени старого iPhone 6 который списывают",creative
"Сочини гимн факультета информатики",creative
"Придумай описание для NFT коллекции про котов-программистов",creative
"Translate to English: Наша компания специализируется на внедрении решений в области информационной безопасности для среднего и крупного бизнеса",translation
"Как по-фински сказать «где здесь ближайший супермаркет»?",translation
"Переведи отзыв на английский: Отличный сервис! Менеджер Алексей помог разобраться со всеми нюансами. Рекомендую!",translation
"What is the Polish word for 'thank you very much'?",translation
"Переведи на английский: В рамках импортозамещения предлагается использовать отечественные аналоги программного обеспечения",translation
"Как перевести 'code review' на русский? Есть ли устоявшийся перевод?",translation
"Переведи на чешский: Два билета на вечерний сеанс пожалуйста",translation
"Translate this warning message: Внимание! Обнаружена подозрительная активность в вашем аккаунте",translation
"Как будет на хинди «приятно познакомиться»?",translation
"Переведи на английский: Просим согласовать техническое задание до конца текущей рабочей недели",translation
